interpret,name,phonetic,sound
n.高调，夸大之辞,bombast,[ˈbɒmbæst],http://sound.yywz123.com/qsbdcword/b/bombast.mp3
n.举止粗野的人；乡下佬,boor,[bʊə(r)],http://sound.yywz123.com/qsbdcword/b/boor.mp3
n.亵渎，渎神,blasphemy,[ˈblæsfəmi],http://sound.yywz123.com/qsbdcword/b/blasphemy.mp3
n.纹章，装饰；精确描绘；v.广布；宣布,blazon,[ˈbleɪzn],http://sound.yywz123.com/qsbdcword/b/blazon.mp3
n.吹牛大王,braggadocio,[ˌbrægəˈdəʊtʃiəʊ],http://sound.yywz123.com/qsbdcword/b/braggadocio.mp3
n.障碍物；封锁,blockage,[ˈblɒkɪdʒ],http://sound.yywz123.com/qsbdcword/b/blockage.mp3
n.孩子；顽童,brat,[bræt],http://sound.yywz123.com/qsbdcword/b/brat.mp3
vt. 咆哮；狂吹；夸口；威吓；气势汹汹地说 vi. 咆哮；恫吓 n. 怒号；吓唬,bluster,[ˈblʌstə(r)],http://sound.yywz123.com/qsbdcword/b/bluster.mp3
vt.欺侮；吓唬,browbeat,[ˈbraʊbi:t],http://sound.yywz123.com/qsbdcword/b/browbeat.mp3
n.演出时的丑角,buffoon,[bəˈfu:n],http://sound.yywz123.com/qsbdcword/b/buffoon.mp3
n.秘密会议；干部会议；v.（参加）干部开会议,caucus,[ˈkɔ:kəs],http://sound.yywz123.com/qsbdcword/c/caucus.mp3
n.署名；v.署名,byline,[ˈbaɪlaɪn],http://sound.yywz123.com/qsbdcword/b/byline.mp3
n.用动作等表演文字意义的字谜游戏,charade,[ʃəˈrɑ:d],http://sound.yywz123.com/qsbdcword/c/charade.mp3
n.温和，仁慈，宽厚,clemency,[ˈklemənsi],http://sound.yywz123.com/qsbdcword/c/clemency.mp3
adj.仁慈的；温和的,clement,[ˈklemənt],http://sound.yywz123.com/qsbdcword/c/clement.mp3
n.拼贴画；v.拼贴；把……创作成拼贴画,collage,[ˈkɒlɑ:ʒ],http://sound.yywz123.com/qsbdcword/c/collage.mp3
n.贮水池,cistern,[ˈsɪstən],http://sound.yywz123.com/qsbdcword/c/cistern.mp3
adj.甜得发腻的,cloying,[ˈklɔɪɪŋ],http://sound.yywz123.com/qsbdcword/c/cloying.mp3
n.凝结剂；凝血剂,coagulant,[kəʊ'ægjʊlənt],http://sound.yywz123.com/qsbdcword/c/coagulant.mp3
n.尖音小号声；尖音小号,clarion,['klærɪən],http://sound.yywz123.com/qsbdcword/c/clarion.mp3
adj.老朽的，退休的；v.因落后于时代而废除，勒令退学,superannuated,[ˌsu:pərˈænjueɪtɪd],http://sound.yywz123.com/qsbdcword/s/superannuated.mp3
adj.腐臭的；有毒的；已腐烂的；卑劣的,putrid,[ˈpju:trɪd],http://sound.yywz123.com/qsbdcword/p/putrid.mp3
adj.天堂的，天上的；崇高的,supernal,[sju:'pɜ:nəl],http://sound.yywz123.com/qsbdcword/s/supernal.mp3
adj.下意识的，潜意识的；太弱或太快以至于难以觉察的,subliminal,[ˌsʌbˈlɪmɪnl],http://sound.yywz123.com/qsbdcword/s/subliminal.mp3
adj.厌烦于享乐的,blase,[ˈblɑ:zeɪ],http://sound.yywz123.com/qsbdcword/b/blase.mp3
vt. 预示；为…的兆头 vi. 预示 v. 停留；继续；遭到（bide的过去式）,bode,[bəʊd],http://sound.yywz123.com/qsbdcword/b/bode.mp3
